Cluster,Plot,ILUA_I,SelectPlot,SoilSample,X_Start,Y_Start,ILUA_I_TRA,Zone,Province,District,CenterX,CenterY
6406.000000,1.000000,1.000000,1.000000,1.000000,338247.000000,8452010.000000,150.000000,UTM-36,Eastern,Petauke,338492.000000,8452260.000000
6545.000000,1.000000,0.000000,1.000000,0.000000,327170.000000,8462678.000000,0.000000,UTM-36,Eastern,Petauke,327415.000000,8462928.000000
6546.000000,1.000000,0.000000,1.000000,1.000000,337977.000000,8462748.000000,0.000000,UTM-36,Eastern,Petauke,338222.000000,8462998.000000
6683.000000,1.000000,0.000000,1.000000,1.000000,305471.000000,8473588.000000,0.000000,UTM-36,Eastern,Petauke,305716.000000,8473838.000000
6684.000000,1.000000,0.000000,1.000000,0.000000,316283.000000,8473667.000000,0.000000,UTM-36,Eastern,Petauke,316528.000000,8473917.000000
6686.000000,1.000000,0.000000,1.000000,1.000000,337908.000000,8473811.000000,0.000000,UTM-36,Eastern,Petauke,338153.000000,8474061.000000
6825.000000,1.000000,0.000000,1.000000,0.000000,327022.000000,8484804.000000,0.000000,UTM-36,Eastern,Petauke,327267.000000,8485054.000000
6827.000000,1.000000,0.000000,1.000000,0.000000,348655.000000,8484938.000000,0.000000,UTM-36,Eastern,Petauke,348900.000000,8485188.000000
6963.000000,1.000000,0.000000,1.000000,0.000000,305306.000000,8495716.000000,0.000000,UTM-36,Eastern,Petauke,305551.000000,8495966.000000
6965.000000,1.000000,0.000000,1.000000,0.000000,326949.000000,8495867.000000,0.000000,UTM-36,Eastern,Petauke,327194.000000,8496117.000000
6966.000000,1.000000,0.000000,1.000000,0.000000,337770.000000,8495936.000000,0.000000,UTM-36,Eastern,Petauke,338015.000000,8496186.000000
7106.000000,1.000000,1.000000,1.000000,1.000000,337903.000000,8507323.000000,129.000000,UTM-36,Eastern,Petauke,338148.000000,8507573.000000
9472.000000,1.000000,0.000000,1.000000,0.000000,184003.000000,8693850.000000,0.000000,UTM-36,Luapula,Samfya,184248.000000,8694100.000000
9752.000000,1.000000,0.000000,1.000000,0.000000,183775.000000,8715991.000000,0.000000,UTM-36,Luapula,Samfya,184020.000000,8716241.000000
9891.000000,1.000000,1.000000,1.000000,1.000000,172944.000000,8727274.000000,53.000000,UTM-36,Luapula,Samfya,173189.000000,8727524.000000
9895.000000,1.000000,0.000000,1.000000,0.000000,216415.000000,8727375.000000,0.000000,UTM-36,Luapula,Samfya,216660.000000,8727625.000000
4991.000000,1.000000,1.000000,1.000000,1.000000,177599.000000,8339736.000000,188.000000,UTM-36,Lusaka,Chongwe,177844.000000,8339986.000000
4992.000000,1.000000,0.000000,1.000000,0.000000,188162.000000,8339554.000000,0.000000,UTM-36,Lusaka,Chongwe,188407.000000,8339804.000000
5132.000000,1.000000,0.000000,1.000000,0.000000,188017.000000,8350627.000000,0.000000,UTM-36,Lusaka,Chongwe,188262.000000,8350877.000000
4155.000000,1.000000,0.000000,1.000000,0.000000,221242.000000,8273532.000000,0.000000,UTM-36,Lusaka,Luangwa,221487.000000,8273782.000000
4291.000000,1.000000,1.000000,1.000000,1.000000,178362.000000,8284367.000000,204.000000,UTM-36,Lusaka,Luangwa,178607.000000,8284617.000000
4712.000000,1.000000,0.000000,1.000000,1.000000,188454.000000,8317409.000000,0.000000,UTM-36,Lusaka,Luangwa,188699.000000,8317659.000000
4713.000000,1.000000,0.000000,1.000000,0.000000,199206.000000,8317549.000000,0.000000,UTM-36,Lusaka,Luangwa,199451.000000,8317799.000000
4993.000000,1.000000,0.000000,1.000000,0.000000,198924.000000,8339693.000000,0.000000,UTM-36,Lusaka,Luangwa,199169.000000,8339943.000000
9216.000000,1.000000,1.000000,1.000000,1.000000,445819.000000,8673646.000000,74.000000,UTM-36,Muchinga,Chama,446064.000000,8673896.000000
9637.000000,1.000000,0.000000,1.000000,0.000000,456458.000000,8706513.000000,0.000000,UTM-36,Muchinga,Chama,456703.000000,8706763.000000
9642.000000,1.000000,0.000000,1.000000,0.000000,510947.000000,8706542.000000,0.000000,UTM-36,Muchinga,Chama,511192.000000,8706792.000000
9782.000000,1.000000,0.000000,1.000000,0.000000,510951.000000,8717600.000000,0.000000,UTM-36,Muchinga,Chama,511196.000000,8717850.000000
9916.000000,1.000000,1.000000,1.000000,1.000000,445721.000000,8728936.000000,58.000000,UTM-36,Muchinga,Chama,445966.000000,8729186.000000
9917.000000,1.000000,0.000000,1.000000,0.000000,456427.000000,8728629.000000,0.000000,UTM-36,Muchinga,Chama,456672.000000,8728879.000000
9920.000000,1.000000,0.000000,1.000000,0.000000,489144.000000,8728657.000000,0.000000,UTM-36,Muchinga,Chama,489389.000000,8728907.000000
9921.000000,1.000000,1.000000,1.000000,1.000000,500250.000000,8728984.000000,59.000000,UTM-36,Muchinga,Chama,500495.000000,8729234.000000
10062.000000,1.000000,0.000000,1.000000,0.000000,510959.000000,8739714.000000,0.000000,UTM-36,Muchinga,Chama,511204.000000,8739964.000000
10340.000000,1.000000,0.000000,1.000000,0.000000,489133.000000,8761829.000000,0.000000,UTM-36,Muchinga,Chama,489378.000000,8762079.000000
10341.000000,1.000000,0.000000,1.000000,0.000000,500050.000000,8761831.000000,0.000000,UTM-36,Muchinga,Chama,500295.000000,8762081.000000
10342.000000,1.000000,0.000000,1.000000,1.000000,510966.000000,8761829.000000,0.000000,UTM-36,Muchinga,Chama,511211.000000,8762079.000000
10616.000000,1.000000,1.000000,1.000000,1.000000,445627.000000,8784225.000000,46.000000,UTM-36,Muchinga,Chama,445872.000000,8784475.000000
10621.000000,1.000000,1.000000,1.000000,1.000000,500250.000000,8784270.000000,47.000000,UTM-36,Muchinga,Chama,500495.000000,8784520.000000
10756.000000,1.000000,0.000000,1.000000,0.000000,445409.000000,8794957.000000,0.000000,UTM-36,Muchinga,Chama,445654.000000,8795207.000000
11176.000000,1.000000,0.000000,1.000000,0.000000,445355.000000,8828129.000000,0.000000,UTM-36,Muchinga,Chama,445600.000000,8828379.000000
11179.000000,1.000000,0.000000,1.000000,0.000000,478172.000000,8828166.000000,0.000000,UTM-36,Muchinga,Chama,478417.000000,8828416.000000
11187.000000,1.000000,0.000000,1.000000,0.000000,565684.000000,8828109.000000,0.000000,UTM-36,Muchinga,Chama,565929.000000,8828359.000000
11316.000000,1.000000,1.000000,1.000000,1.000000,445537.000000,8839511.000000,36.000000,UTM-36,Muchinga,Chama,445782.000000,8839761.000000
11320.000000,1.000000,0.000000,1.000000,0.000000,489107.000000,8839228.000000,0.000000,UTM-36,Muchinga,Chama,489352.000000,8839478.000000
11321.000000,1.000000,1.000000,1.000000,1.000000,500250.000000,8839554.000000,37.000000,UTM-36,Muchinga,Chama,500495.000000,8839804.000000
11459.000000,1.000000,0.000000,1.000000,0.000000,478158.000000,8850279.000000,0.000000,UTM-36,Muchinga,Chama,478403.000000,8850529.000000
9907.000000,1.000000,0.000000,1.000000,0.000000,347358.000000,8728287.000000,0.000000,UTM-36,Muchinga,Chinsali,347603.000000,8728537.000000
10186.000000,1.000000,0.000000,1.000000,0.000000,336334.000000,8750354.000000,0.000000,UTM-36,Muchinga,Chinsali,336579.000000,8750604.000000
10188.000000,1.000000,0.000000,1.000000,0.000000,358167.000000,8750458.000000,0.000000,UTM-36,Muchinga,Chinsali,358412.000000,8750708.000000
10190.000000,1.000000,0.000000,1.000000,0.000000,379998.000000,8750548.000000,0.000000,UTM-36,Muchinga,Chinsali,380243.000000,8750798.000000
10465.000000,1.000000,0.000000,1.000000,0.000000,325297.000000,8772418.000000,0.000000,UTM-36,Muchinga,Chinsali,325542.000000,8772668.000000
10471.000000,1.000000,0.000000,1.000000,0.000000,390837.000000,8772704.000000,0.000000,UTM-36,Muchinga,Chinsali,391082.000000,8772954.000000
10603.000000,1.000000,0.000000,1.000000,0.000000,303380.000000,8783355.000000,0.000000,UTM-36,Muchinga,Chinsali,303625.000000,8783605.000000
10606.000000,1.000000,1.000000,1.000000,1.000000,336366.000000,8783861.000000,44.000000,UTM-36,Muchinga,Chinsali,336611.000000,8784111.000000
10611.000000,1.000000,1.000000,1.000000,1.000000,391000.000000,8784088.000000,45.000000,UTM-36,Muchinga,Chinsali,391245.000000,8784338.000000
10614.000000,1.000000,0.000000,1.000000,0.000000,423577.000000,8783856.000000,0.000000,UTM-36,Muchinga,Chinsali,423822.000000,8784106.000000
10748.000000,1.000000,0.000000,1.000000,1.000000,357973.000000,8794697.000000,0.000000,UTM-36,Muchinga,Chinsali,358218.000000,8794947.000000
10753.000000,1.000000,0.000000,1.000000,0.000000,412622.000000,8794887.000000,0.000000,UTM-36,Muchinga,Chinsali,412867.000000,8795137.000000
10885.000000,1.000000,0.000000,1.000000,0.000000,325121.000000,8805601.000000,0.000000,UTM-36,Muchinga,Chinsali,325366.000000,8805851.000000
10886.000000,1.000000,0.000000,1.000000,0.000000,336057.000000,8805657.000000,0.000000,UTM-36,Muchinga,Chinsali,336302.000000,8805907.000000
10889.000000,1.000000,0.000000,1.000000,1.000000,368860.000000,8805802.000000,0.000000,UTM-36,Muchinga,Chinsali,369105.000000,8806052.000000
10894.000000,1.000000,0.000000,1.000000,0.000000,423526.000000,8805971.000000,0.000000,UTM-36,Muchinga,Chinsali,423771.000000,8806221.000000
11028.000000,1.000000,0.000000,1.000000,0.000000,357879.000000,8816816.000000,0.000000,UTM-36,Muchinga,Chinsali,358124.000000,8817066.000000
11311.000000,1.000000,1.000000,1.000000,1.000000,390820.000000,8839380.000000,35.000000,UTM-36,Muchinga,Chinsali,391065.000000,8839630.000000
11312.000000,1.000000,0.000000,1.000000,0.000000,401564.000000,8839088.000000,0.000000,UTM-36,Muchinga,Chinsali,401809.000000,8839338.000000
11450.000000,1.000000,0.000000,1.000000,0.000000,379638.000000,8850077.000000,0.000000,UTM-36,Muchinga,Chinsali,379883.000000,8850327.000000
11452.000000,1.000000,0.000000,1.000000,0.000000,401533.000000,8850146.000000,0.000000,UTM-36,Muchinga,Chinsali,401778.000000,8850396.000000
11593.000000,1.000000,0.000000,1.000000,0.000000,412452.000000,8861233.000000,0.000000,UTM-36,Muchinga,Chinsali,412697.000000,8861483.000000
